U133a
RNF14
UBE2Q1
RNF17
RNF10
RNF11
RNF13
REM1
TSKS
NDP
PMM2
PMM1
ASS1
NCBP1
NID2
CAMK1
ZNF702
ZNF701
ZNF706
ZC3H13
ZC3H15
ZC3H14
SPN
RNF111
NACAP1
GRIN1
DHX8
DHX9
TCOF1
NUP98
XPC
SP1
GRINA
SP3
NUP93
KLRA1
CAMKV
GOLIM4
OPA3
OPA1
RAB40C
RAB40B
RAB40A
FBL
COL7A1
ARTS.1
GTSE1
ARFRP1
KIAA0831
SPPL2B
MYO3A
ITGA9
UGCG
ATP2A1
ATP2A2
ATP2A3
ITGA2
ITGA3
ITGA4
RIT2
RIT1
ITGA7
TRHR
DENND4A
DENND4B
DENND4C
SWAP70
PREB
PHLDA1
PHLDA3
PHLDA2
GAP43
FBXL11
HRH4
FBXL12
HRH2
HRH3
HRH1
FBXL18
SDK2
GRP
THSD4
THSD1
ZFP161
COL4A6
COL4A5
COL4A4
COL4A3
COL4A2
COL4A1
GRN
CHST3
CHST2
CHST5
CHST4
CHST7
ITGAX
HLX
HLCS
ITGAV
PREP
ITGAL
ITGAM
HLF
NOV
FAM134C
FAM134B
FAM134A
SMAD9
SMAD4
SMAD5
SMAD6
SMAD7
RIC3
SMAD1
AFTPH
SMAD3
F12
IL1RAPL1
IGF2R
TMPRSS11D
IL1RAPL2
CKS1B
SLC36A1
C14orf115
NSBP1
C14orf118
ARTN
ART1
ART3
ART4
SPTLC1
TCEA2
TCEA1
COX4I1
BFAR
CRTAM
EDA
PIPOX
CADPS2
RLF
MCF2L
ATP1A3
ATP1A2
ATP1A1
MGRN1
CRTAP
CBLC
SPHK1
DPT
BPESC1
CUEDC1
CUEDC2
IPO13
AIM1
CPEB1
CPEB3
BEGAIN
ZNF44
ABAT
ARHGEF2
ZNF780B
FRG1
IFT81
NPY6R
DEPDC1
SP2
MCM10
SP4
LTBP3
ABCB8
ATG4B
ATG4A
KYNU
CREB5
PHOX2A
PHOX2B
TNRC4
TNRC5
UPK2
CFH
CFI
CFD
C1orf14
CFB
MLLT4
CDKAL1
PNN
ATP6V0E1
ATP6V0E2
CFP
AAAS
HAMP
SIDT1
SIDT2
SIX5
SIX6
SAGE1
MR1
SIX2
SIX3
NAALAD2
HMG20A
HMG20B
C4orf18
C4orf19
C4orf15
C4orf16
SHOX2
CHFR
EFHA1
SYPL1
RCOR3
NGFB
RFX5
AVPR2
NRXN3
NRXN2
RFX2
RFX3
APC
PDZK1
UQCRC2
XPNPEP1
XPNPEP2
UQCRC1
GGCX
ADNP
KHDRBS1
KHDRBS3
KHDRBS2
ZCCHC10
LHCGR
C11orf2
DPYSL4
TARS2
DPYSL2
DPYSL3
C11orf9
IGFBP2
IGFBP3
IGFBP1
IGFBP6
IGFBP7
IGFBP4
IGFBP5
PPM2C
TTC4
CKLF
GJA1
C15orf24
GJA3
GJA4
GJA5
GJA7
GJA8
GJA9
C15orf29
ZNF117
SEZ6L
TMC5
TMC6
TMC7
APIP
EIF2B4
EIF2B5
EIF2B2
EIF2B3
EIF2B1
PRKAR2A
PRKAR2B
TXNIP
C20orf59
MLF1
QPRT
IFT140
MLF2
TMEM14B
TMEM14A
CFLAR
ITGA2B
FANCE
RFXDC2
MYT1L
C9orf127
CEPT1
CFHR2
PHACTR4
CLIC4
CLIC5
L3MBTL
NLGN3
LIN28
CFHR5
CXorf1
CXorf6
KRTAP2.4
TMEM147
ASGR1
ASGR2
NY.REN.7
FOXL2
ITGA6
TMEM140
SF1
TMEM149
API5
tcag7.1314
UBE2NL
FANCI
KIAA1199
SPAR
FAM32A
ALOX12P2
FER1L3
C19orf22
ZMAT3
C19orf21
ZMAT5
ZMAT4
C19orf24
MYBL1
NR1D1
C19orf28
MYBL2
ITGB1BP1
ITGB1BP3
ITGB1BP2
ZNF7
ZNF3
TIPIN
M6PRBP1
ZNF8
C11orf17
C11orf16
ZAP70
C11orf10
OGFR
EPM2AIP1
CDC5L
RAC2
RAC3
RAC1
VCL
MRPS18A
VCP
CPLX3
ORC3L
LILRB4
AP2A2
PBX2
PBX3
PBX1
BCL6
LILRB1
NSUN3
NSUN5
TUBG1
TUBG2
TARS
PTCH1
PRAMEF9
TUFM
FAM108B1
RAD9A
ERGIC2
ERGIC3
CDR2L
S100PBP
B3GAT3
MGC13053
B3GAT1
UXT
CALM2
TTC30A
SPG21
SPG20
NANOS1
UPK1A
UPK1B
DLGAP2
