Agilent
ARHGEF10L
HIF3A
RNF17
RNF10
RNF11
RNF12
RNF13
REM1
C16orf14
TM7SF2
C16orf13
FGFR1OP2
TSKS
ATRX
PMM2
UBE2F
PMM1
ASS1
NCBP1
HMG1L1
ZNF708
RBM14
NCBP2
DISC1
CAMK1
RPL37
SPR
UNQ9438
ZNF707
CAMK4
ZNF704
ZC3H10
ZC3H13
ZC3H15
ZC3H14
SPN
HMGCLL1
NACAP1
LRRTM1
GRIN1
REM2
DHX8
DHX9
TCOF1
LRRTM3
NUP98
XPC
SLC12A2
GRINA
LRRTM2
NUP93
HAP1
KLRA1
CAMKV
TACSTD2
GOLIM4
ZNF646
OPA3
OPA1
RHEB
RAB40C
RAB40B
RAB40A
TACSTD1
COL7A1
ARTS.1
GTSE1
ARFRP1
OVCH1
PSAP
KIAA0831
SPPL2A
SPPL2B
ITGA8
ITGA9
UGCG
MYO3B
ATP2A1
ATP2A2
ATP2A3
ITGA1
ITGA2
ITGA3
ITGA4
ITGA5
ITGA6
ITGA7
TRHR
DENND4A
DENND4B
DENND4C
SWAP70
RARRES1
PHLDA1
PHLDA3
PHLDA2
GAP43
NENF
FBXL11
FBXL10
FBXL13
FBXL12
FBXL15
CYP27B1
FBXL17
FBXL16
FBXL19
FBXL18
FAM116A
GHDC
SDK1
SDK2
GRP
THSD4
ZNF407
THSD3
THSD1
CHST9
CHST8
COL4A5
COL4A4
COL4A3
COL4A2
COL4A1
SLC35D2
CHST1
CHST3
CHST2
CHST5
CHST4
CHST7
CHST6
ITGAX
OR8J1
BCL2A1
HLCS
NOG
LIPG
ITGAV
HIBCH
ZNF703
GPR114
ITGAL
ITGAM
ZNF702
LOC388965
HLF
NOV
FAM134C
FAM134B
FAM134A
ZNF700
SMAD9
TRERF1
IFRG15
LQK1
SMAD6
SMAD7
GOLPH3L
SMAD1
AFTPH
SMAD3
MUS81
AMMECR1L
KIAA1505
PSCD2
IL1RAPL1
TMPRSS11B
IGF2R
TMPRSS11D
TMPRSS11F
HRH2
IL1RAPL2
SLC36A3
CKS1B
SLC36A1
LOC388272
ST13
C14orf115
C14orf112
NSBP1
C14orf118
ARTN
ART1
HRH3
ART3
HERC2P2
ART5
ART4
RNF111
TCEA2
TCEA3
TCEA1
COX4I2
COX4I1
BFAR
ZNF225
CRTAM
EDA
PIPOX
CCDC116
CADPS2
CCDC114
CCDC115
CCDC112
CCDC113
CCDC110
CCDC111
LEO1
ATP1A4
ATP1A3
ATP1A2
ATP1A1
NAG18
MGRN1
TCP1
CRTAP
FOXQ1
SPHK1
DPT
BPESC1
CUEDC1
CUEDC2
IPO13
CPEB4
CPEB1
ZNF45
CPEB3
CPEB2
BEGAIN
OSGEP
NOPE
ABAT
ZNF780A
ZNF780B
FRG1
SLC7A13
RHEBL1
TP53TG3
IFT80
IFT81
PBEF1
HSPC105
DKFZp666G057
IFT88
SARDH
SP1
SP2
KISS1R
MCM10
PDIA5
SP4
FLJ39779
IGFBPL1
SP5
ATG4C
ATG4B
ATG4A
KYNU
ATG4D
PHOX2A
PHOX2B
TNRC4
TNRC5
LRGUK
UPK2
C1orf19
CFI
ANKFY1
C1orf14
CFB
OR5P3
OR5P2
MLLT4
CREBBP
PNN
ATP6V0E1
ATP6V0E2
RNF128
CFP
AAAS
HAMP
SIDT1
MLLT1
SIX4
SIX5
HIG2
SAGE1
MR1
SIX2
SIX3
NAALAD2
NODAL
SYNJ1
KNDC1
HMG20A
HMG20B
PHOSPHO2
SHFM3P1
C4orf18
C4orf19
C4orf14
C4orf15
C4orf16
C4orf17
C4orf12
UNQ9391
MRO
CHFR
EFHA1
RTBDN
EFHA2
SYPL1
GPR75
NUDT9P1
SYPL2
ZCCHC12
NGFB
OSCAR
AVPR2
NRXN3
GPR77
NRXN1
RFX3
RFPL2
NLRP13
APC
ABCE1
UQCRC2
XPNPEP1
XPNPEP2
C21orf42
ZNHIT3
GGCX
PAPLN
ADNP
ZNF57
TRAPPC5
KHDRBS1
KHDRBS3
KHDRBS2
FLJ45717
VPS37C
ZNF395
STAC3
TBL1Y
LHCGR
OR1Q1
TMEM127
GPR78
VPS37B
ZBED4
TTC5
C11orf2
C11orf1
DPYSL5
DPYSL2
DPYSL3
OSTM1
C11orf9
KRTAP10.10
IGFBP2
IGFBP3
IGFBP1
BOP1
IGFBP7
IGFBP4
IGFBP5
PPM2C
TTC4
CYP2R1
CKLF
ZNF193
SASP
C15orf26
C15orf27
C15orf24
GJA3
GJA4
GJA5
C15orf21
CYP8B1
C15orf28
C15orf29
STMN1
TICAM1
ZNF117
ZNF114
TBC1D19
SEZ6L
HSD17B10
TMC4
MYO3A
TMC6
KIAA1958
APIP
KIAA1627
GPR15
TMC3
PKLR
WASF1
EIF2B4
EIF2B5
EIF2B2
EIF2B3
EIF2B1
PRKAR2A
C20orf52
CSNK2A1P
MGC26597
SLC4A9
C20orf54
TXNIP
SLC36A4
C20orf59
C20orf58
MLF1
QPRT
IFT140
MLF2
TMEM14C
TMEM14B
SMAP1L
FANCF
ITGA2B
RSPH1
IFI16
RFXDC2
RFXDC1
TTC1
MGC33846
C9orf128
C9orf126
C9orf127
C9orf125
CEPT1
KIAA1267
RTCD1
CFHR2
CFHR3
CLIC4
CXorf9
CLIC2
CLIC3
CFHR4
CFHR5
SUGT1L1
CXorf1
CXorf6
KRTAP2.4
TMEM147
ASGR1
ASGR2
NY.REN.7
FOXL2
RIT1
TMEM141
FOXL1
SF1
FANCM
TMEM149
TMEM148
API5
tcag7.1314
LOC751071
RNF180
P2RX7
HAS2
KIAA1199
HLA.DPA1
FAM32A
KIAA1191
ALOX12P2
PCDHA9
FER1L3
CA5B
OR10A3
VWA1
C19orf22
C19orf23
C19orf20
C19orf21
C19orf26
ZMAT4
C19orf24
C19orf25
MYBL1
NR1D1
C19orf28
C19orf29
ITGB1BP1
ITGB1BP3
ITGB1BP2
ZNF7
ZNF2
ZNF3
CTCFL
M6PRBP1
ZNF8
C11orf17
C11orf16
ZAP70
C11orf10
HNRNPA0
OGFR
CDC5L
RAC2
RAC3
RAC1
SBDS
MGC35440
VCL
MRPS18A
CPLX2
CPLX3
ORC3L
CPLX1
AP2A1
CPLX4
AP2A2
LILRB3
CADPS
FIGNL1
PBX2
PBX3
PBX1
TUBB2C
AIRE
NSUN3
NSUN2
NSUN5
NSUN4
